ticker,quarter,period_start,period_end,basis,segment_revenue_gold,total_revenue,opcost_ex_dda,segment_dda,royalties,corporate_g_and_a,exploration_expensed,capitalised_exploration,capex_total,reclamation_accretion,lease_payments,net_interest,capitalised_interest,cash_tax_paid,gold_oz_sold,gold_oz_produced,aisc_denominator_oz,published_aisc,aisc_basis,published_aic,published_aisc_byproduct,published_aic_byproduct,byproduct_credits,net_income_attributable,recon_aisc,recon_residual_pct,flags,source_file,impairment_charges,recon_basis
GFI,2013Q1,2013-01-01,2013-03-31,consolidated,754.900,805.200,380.000,136.500,27.800,18.000,37.000,,244.400,3.200,,10.300,7.000,107.600,461424,477000,,,,,,,50.300,313.800,1459.4,,"ONLY_CONSOLIDATED;STUB_QUARTER;RESTATED;NO_AISC_CHECK;GEO_BASIS;GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold;GEO_DERIVED:group_gold_sold_minus_CerroCorona_GEO_plus_CerroCorona_actual;FX_SRC:SELF;FX_TRANSLATED_CHECKSUM;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;reclamation_accretion_sourced_from_TCC_reconciliation_table_'Rehabilitation_costs'_row(may_be_broader_rehab_cost_accrual,_not_strictly_IFRS_accretion/unwind-of-discount);derived_q4:false",data/raw/GFI/2013-Q1_0001205613-13-000088_goldfields_quarter.htm,1.400,AISC
GFI,2013Q2,2013-04-01,2013-06-30,consolidated,598.000,637.000,378.800,143.200,19.000,15.100,34.000,,187.200,3.100,,14.000,,122.100,433311,451000,,1416,"GEO ounce basis (WGC standard first adopted 2013Q2; company had not yet disclosed a distinct gold-only-ounce denominator); likely blended gold+copper equivalent ounces -- unverified, see notes",1572,,,39.000,-129.000,1392.1,-0.1145,"ONLY_CONSOLIDATED;GEO_BASIS;GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold;GEO_DERIVED:group_gold_sold_minus_CerroCorona_GEO_plus_CerroCorona_actual;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NOT_DISCLOSED:capitalised_interest;reclamation_accretion_sourced_from_TCC_reconciliation_table_'Rehabilitation_costs'_row(may_be_broader_rehab_cost_accrual,_not_strictly_IFRS_accretion/unwind-of-discount);WGC_STANDARD_FIRST_ADOPTED_THIS_QUARTER",data/raw/GFI/2013-Q2_0001205613-13-000155_goldfields_quarter.htm,126.800,AIC
GFI,2013Q3,2013-07-01,2013-09-30,consolidated,627.000,683.300,383.400,148.400,19.600,14.000,26.100,,156.000,3.000,,18.300,,38.900,474105,496000,,1089,"GEO ounce basis (WGC standard first adopted 2013Q2; company had not yet disclosed a distinct gold-only-ounce denominator); likely blended gold+copper equivalent ounces -- unverified, see notes",1176,,,56.300,1.400,1214.9,0.0331,"ONLY_CONSOLIDATED;GEO_BASIS;GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold;GEO_DERIVED:group_gold_sold_minus_CerroCorona_GEO_plus_CerroCorona_actual;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NOT_DISCLOSED:capitalised_interest;reclamation_accretion_sourced_from_TCC_reconciliation_table_'Rehabilitation_costs'_row(may_be_broader_rehab_cost_accrual,_not_strictly_IFRS_accretion/unwind-of-discount)",data/raw/GFI/2013-Q3_0001205613-13-000201_goldfields_quarter.htm,9.000,AIC
GFI,2013Q4,2013-10-01,2013-12-31,consolidated,734.100,780.700,445.600,182.800,24.500,19.100,17.400,,152.100,3.700,,16.400,,38.600,575946,598000,,1054,"GEO ounce basis (WGC standard first adopted 2013Q2; company had not yet disclosed a distinct gold-only-ounce denominator); likely blended gold+copper equivalent ounces -- unverified, see notes",1095,,,46.600,-474.200,1119.9,0.0227,"ONLY_CONSOLIDATED;GEO_BASIS;GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold;GEO_DERIVED:group_gold_sold_minus_CerroCorona_GEO_plus_CerroCorona_actual;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NOT_DISCLOSED:capitalised_interest;reclamation_accretion_sourced_from_TCC_reconciliation_table_'Rehabilitation_costs'_row(may_be_broader_rehab_cost_accrual,_not_strictly_IFRS_accretion/unwind-of-discount)",data/raw/GFI/2013-Q4_0001205613-14-000028_goldfields_results.htm,672.300,AIC
GFI,2014Q1,2014-01-01,2014-03-31,consolidated,681.300,714.600,423.000,159.000,22.000,,12.000,,141.300,,,19.000,6.000,29.400,524800,557000,,1066,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1114,,,33.300,-0.300,1117.2,0.0029,ONLY_CONSOLIDATED;GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold(disclosed_as_'gold_sold_only');TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NOT_DISCLOSED:corporate_g_and_a(no_breakout_disclosed_from_2014_on);NOT_DISCLOSED:reclamation_accretion(reclassified_into_'Other_costs'_line_2014Q1_per_filing);opcost_ex_dda_is_GROSS_includes_GA_unlike_2013_rows,data/raw/GFI/2014-Q1_0001205613-14-000072_goldfields_quarter.htm,5.100,AIC
GFI,2014Q2,2014-04-01,2014-06-30,consolidated,683.600,747.000,436.000,175.000,22.000,,15.000,,153.400,,,19.000,6.000,4.200,532300,548000,,1050,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1093,,,63.400,19.000,1148.6,0.0509,ONLY_CONSOLIDATED;GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold(disclosed_as_'gold_sold_only');TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NOT_DISCLOSED:corporate_g_and_a(no_breakout_disclosed_from_2014_on);NOT_DISCLOSED:reclamation_accretion(bundled_in_'Other_costs'_line);opcost_ex_dda_is_GROSS_includes_GA,data/raw/GFI/2014-Q2_0001205613-14-000116_goldfields_results.htm,0.000,AIC
GFI,2014Q3,2014-07-01,2014-09-30,consolidated,661.800,699.200,414.000,151.000,22.000,,8.000,,144.200,,,19.000,6.000,29.300,519800,559000,,1074,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1096,,,37.400,19.000,1116.2,0.0184,ONLY_CONSOLIDATED;GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold(disclosed_as_'gold_sold_only');TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NOT_DISCLOSED:corporate_g_and_a(no_breakout_disclosed_from_2014_on);NOT_DISCLOSED:reclamation_accretion(bundled_in_'Other_costs'_line);opcost_ex_dda_is_GROSS_includes_GA,data/raw/GFI/2014-Q3_0001205613-14-000160_goldfields_results.htm,0.000,AIC
GFI,2014Q4,2014-10-01,2014-12-31,consolidated,657.700,708.000,405.000,172.000,21.000,,12.000,,170.000,,,20.000,6.000,41.300,544500,556000,,1023,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1047,,,50.400,-26.000,1094.6,0.0454,ONLY_CONSOLIDATED;GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold(disclosed_as_'gold_sold_only');TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NOT_DISCLOSED:corporate_g_and_a(no_breakout_disclosed_from_2014_on);NOT_DISCLOSED:reclamation_accretion(bundled_in_'Other_costs'_line);opcost_ex_dda_is_GROSS_includes_GA,data/raw/GFI/2014-Q4_0001205613-15-000019_goldfields.htm,24.200,AIC
GFI,2015Q1,2015-01-01,2015-03-31,consolidated,585.200,609.800,366.000,141.000,18.000,,13.000,,174.800,,,19.000,5.000,53.800,481600,501300,,1143,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1164,,,24.600,-14.000,1160.3,-0.0032,"ONLY_CONSOLIDATED;GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold(disclosed_as_'gold_sold_only');TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NOT_DISCLOSED:corporate_g_and_a(no_breakout_disclosed);NOT_DISCLOSED:reclamation_accretion(bundled_in_'Other_costs'_line);opcost_ex_dda_is_GROSS_includes_GA;RESTATED:FY2015_amortisation_later_corrected_by_-7.4m_in_2017_20-F_(mineral_rights_methodology,_not_reflected_here)",data/raw/GFI/2015-Q1_0001205613-15-000072_goldfields_quarter.htm,0.000,AIC
GFI,2015Q2,2015-04-01,2015-06-30,consolidated,618.100,660.400,382.000,142.000,21.000,,19.000,,158.300,,,15.000,4.000,25.400,518900,534700,,1029,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1059,,,42.300,12.000,1081.7,0.0214,"ONLY_CONSOLIDATED;GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold(disclosed_as_'gold_sold_only');TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NOT_DISCLOSED:corporate_g_and_a(no_breakout_disclosed);NOT_DISCLOSED:reclamation_accretion(bundled_in_'Other_costs'_line);opcost_ex_dda_is_GROSS_includes_GA;RESTATED:FY2015_amortisation_later_corrected_by_-7.4m_in_2017_20-F_(mineral_rights_methodology,_not_reflected_here)",data/raw/GFI/2015-Q2_0001205613-15-000109_goldfields_q2results.htm,7.000,AIC
